X	Y	Z
-0.04	0.16	0.96
-0.03	0.16	0.97
-0.06	0.15	1.07
-0.11	0.15	0.90
-0.21	0.14	-0.03
-0.07	-0.22	0.44
-0.25	-1.07	5.69
-1.13	-2.33	3.69
-0.36	-2.68	-3.04
-0.22	-1.32	-4.05
-1.50	-0.84	2.12
-0.13	0.11	4.11
-0.04	0.29	1.00
-0.09	0.12	0.73
-0.19	0.17	0.80
-0.10	0.11	0.94
-0.10	-0.04	0.66
-0.06	-0.30	0.80
-0.06	-0.49	1.17
-0.24	-0.53	1.07
-0.04	-0.50	1.15
-0.22	-0.51	1.35
-0.19	-0.41	0.96
-0.11	-0.16	0.70
-0.04	0.00	0.68
-0.07	0.04	0.98
-0.08	0.08	1.00
-0.08	0.07	1.05
-0.15	0.07	1.16
-0.43	0.16	0.61
-0.67	0.21	0.54
-1.01	0.29	-0.07
-1.06	0.29	-0.03
-1.01	0.33	-0.13
-0.86	0.33	0.07
-0.58	0.21	0.62
-0.39	0.18	0.99
-0.25	0.20	0.70
-0.22	0.11	1.11
-0.23	0.07	1.03
-0.15	0.03	1.28
-0.17	0.03	1.13
-0.01	0.54	0.49
0.02	0.68	0.60
-0.21	0.81	0.55
-0.17	0.82	0.58
-0.15	0.85	0.55
-0.18	0.91	0.35
-0.20	0.67	0.43
-0.09	0.19	0.50
0.02	-0.22	1.42
-0.04	-0.15	1.20
-0.11	-0.03	1.02
-0.05	-0.03	1.01
-0.15	-0.03	0.37
-0.04	-0.15	0.94
-0.30	-1.66	6.13
-1.23	-3.24	1.61
0.46	-2.61	-5.42
-0.97	-1.28	-2.37
-1.34	-0.76	4.95
-0.14	0.29	2.32
-0.20	0.21	0.84
-0.20	0.07	0.96
-0.14	0.15	0.95
-0.14	0.19	0.86
-0.11	0.16	0.86
-0.12	-0.00	0.61
-0.03	-0.34	0.92
-0.05	-0.47	1.08
-0.12	-0.50	1.03
-0.11	-0.49	1.03
-0.17	-0.56	1.24
-0.16	-0.54	1.18
-0.12	-0.36	0.93
-0.11	-0.12	0.70
-0.10	0.10	0.75
-0.10	0.16	0.78
-0.08	0.12	1.06
-0.10	0.12	0.99
-0.10	0.11	1.12
-0.40	0.10	0.94
-0.68	0.24	0.47
-0.93	0.29	0.26
-0.93	0.33	0.01
-0.94	0.34	-0.10
-0.97	0.34	-0.05
-0.56	0.23	0.19
-0.39	0.01	1.16
-0.15	0.07	1.09
-0.05	0.08	0.92
-0.07	0.05	1.04
-0.14	0.03	1.17
-0.30	-0.11	1.66
0.30	0.36	0.32
-0.12	0.72	0.29
-0.19	0.73	0.23
-0.24	0.91	0.49
-0.17	1.07	0.62
-0.14	0.96	0.36
-0.24	0.70	0.20
-0.03	0.37	0.52
-0.18	-0.20	1.01
0.06	-0.16	1.39
-0.10	-0.05	1.18
-0.09	-0.03	1.08
-0.10	0.03	0.79
-0.08	0.10	-0.29
-1.00	-1.25	4.51
-1.04	-2.38	4.42
-0.98	-2.94	-2.52
0.02	-1.52	-5.21
-1.97	-1.89	1.60
-0.49	-0.35	4.97
-0.10	0.47	0.66
-0.36	0.15	0.72
-0.21	-0.00	0.89
-0.18	0.06	0.83
-0.13	-0.05	0.72
-0.04	-0.30	1.00
-0.13	-0.44	1.14
-0.12	-0.49	1.14
-0.17	-0.42	1.17
-0.19	-0.39	1.27
-0.21	-0.26	0.87
-0.12	-0.03	0.61
-0.12	0.03	0.89
-0.18	0.03	0.91
-0.19	0.04	1.02
-0.24	0.03	1.15
-0.38	0.09	0.97
-0.61	0.23	0.52
-0.80	0.33	0.04
-0.99	0.34	0.19
-0.94	0.37	-0.04
-0.68	0.30	0.13
-0.49	0.13	1.01
-0.35	0.16	1.00
-0.21	0.16	0.87
-0.17	0.13	1.09
-0.17	0.07	1.22
-0.24	0.03	1.31
-0.05	0.46	0.60
0.02	0.70	0.35
-0.11	0.73	0.54
-0.20	0.81	0.47
-0.12	0.91	0.43
-0.21	0.85	0.16
-0.12	0.34	0.64
0.05	-0.14	1.10
0.09	-0.20	1.35
0.00	-0.06	1.15
0.02	0.01	0.90
-0.09	0.01	0.10
0.21	-0.52	2.66
-0.20	-1.64	5.35
-1.29	-2.91	0.72
0.11	-2.47	-5.97
-1.79	-1.82	-1.52
-1.25	-0.97	6.38
0.13	0.42	1.55
-0.28	0.29	0.38
-0.15	0.00	1.02
-0.13	0.14	1.02
-0.15	0.20	0.85
-0.08	0.09	0.58
-0.11	-0.29	0.71
-0.01	-0.63	1.41
-0.15	-0.58	1.06
-0.20	-0.40	1.05
-0.24	-0.46	1.31
-0.10	-0.47	1.06
-0.14	-0.14	0.64
-0.16	0.09	0.61
-0.18	0.07	0.97
-0.14	0.06	1.00
-0.13	0.01	1.26
-0.25	0.05	1.05
-0.55	0.29	0.29
-0.89	0.36	0.18
-0.90	0.40	0.05
-0.94	0.39	0.02
-1.05	0.36	0.13
-0.84	0.35	0.15
-0.33	0.20	0.70
-0.25	0.14	1.04
-0.20	0.12	0.91
-0.19	0.09	1.21
-0.28	-0.01	1.38
-0.17	0.20	0.96
0.12	0.49	0.71
-0.15	0.70	0.27
-0.27	0.78	0.29
-0.26	0.89	0.45
-0.23	0.97	0.42
-0.17	0.95	0.05
-0.51	0.54	0.47
0.13	0.06	0.57
0.10	-0.21	1.60
-0.16	-0.08	1.12
-0.08	0.01	1.14
-0.21	0.15	0.62
0.20	-0.01	-0.48
-1.14	-1.94	5.83
-1.04	-2.79	3.24
-0.80	-3.47	-3.27
-0.24	-1.78	-5.53
-2.72	-2.25	3.50
-0.53	0.07	4.56
0.01	0.47	0.17
-0.29	0.24	0.41
-0.12	0.03	1.16
-0.10	0.09	0.91
-0.08	0.02	0.92
-0.17	-0.17	0.60
-0.01	-0.54	1.23
-0.02	-0.57	1.16
-0.19	-0.45	1.04
-0.21	-0.46	1.18
-0.20	-0.49	1.23
-0.07	-0.22	0.53
-0.12	-0.00	0.77
-0.16	0.08	0.86
-0.15	0.07	1.02
-0.15	0.06	1.04
-0.20	0.04	1.24
-0.22	0.10	0.98
-0.59	0.36	0.09
-0.74	0.44	-0.06
-1.05	0.38	0.11
-1.10	0.40	0.01
-0.73	0.41	-0.09
-0.44	0.16	0.59
-0.32	0.08	1.29
-0.15	0.14	0.82
-0.13	0.08	1.03
-0.16	0.03	1.21
-0.24	-0.04	1.36
0.06	0.01	1.19
-0.05	0.61	-0.02
-0.29	0.80	0.13
-0.32	0.88	0.34
-0.25	1.02	0.41
-0.30	1.01	0.14
-0.10	0.35	0.53
0.09	-0.16	1.18
0.08	-0.10	1.37
-0.14	0.04	0.98
-0.12	0.25	-0.07
-0.07	-0.65	0.85
-0.87	-2.44	6.32
-1.74	-3.65	1.55
-0.30	-2.77	-6.09
-1.65	-2.06	-2.57
-1.24	-0.75	6.34
-0.12	0.38	1.72
-0.28	0.31	0.42
-0.11	0.07	1.03
-0.19	0.17	0.95
-0.16	0.20	0.98
-0.13	0.16	0.89
-0.09	-0.01	0.51
-0.00	-0.42	0.88
-0.04	-0.55	1.21
-0.09	-0.48	1.02
-0.02	-0.54	1.24
-0.04	-0.53	1.35
-0.19	-0.45	1.07
-0.09	-0.04	0.34
-0.20	0.10	0.69
-0.22	0.06	1.03
-0.14	0.08	1.04
-0.17	0.05	1.13
-0.26	0.07	0.99
-0.63	0.15	0.69
-0.80	0.29	-0.15
-0.93	0.30	0.03
-1.09	0.33	-0.12
-0.99	0.39	-0.32
-0.42	0.16	0.27
-0.47	-0.01	1.27
-0.19	0.06	0.97
-0.14	0.05	0.93
-0.11	0.03	1.04
-0.17	-0.01	1.13
-0.20	-0.03	1.18
-0.15	0.06	1.25
0.22	0.46	0.56
-0.14	0.65	0.40
-0.14	0.73	0.42
-0.18	0.83	0.46
-0.18	0.86	0.63
-0.20	0.94	0.58
-0.04	0.91	0.10
-0.08	0.35	0.51
0.07	-0.23	0.94
0.26	-0.43	1.50
0.06	-0.22	0.97
0.07	-0.12	1.11
0.02	-0.07	0.81
-0.08	-0.02	0.43
-0.10	-0.63	1.46
-0.89	-1.57	5.69
-1.43	-3.00	1.81
0.48	-3.17	-5.56
-1.31	-2.11	-3.66
-1.91	-1.53	6.77
0.04	0.24	2.20
-0.30	0.32	0.08
-0.10	-0.08	1.04
-0.06	0.08	1.15
-0.07	0.16	1.05
-0.09	0.15	0.98
-0.01	0.11	0.94
-0.01	0.12	0.93
-0.02	0.14	0.97
-0.00	0.15	1.00
-0.06	0.14	0.94
