X	Y	Z
-0.04	0.17	0.99
-0.03	0.16	0.98
-0.05	0.18	0.98
-0.05	0.15	0.92
-0.31	0.15	-0.09
0.00	-0.25	0.33
-0.53	-1.28	5.84
-1.29	-2.71	3.61
-0.55	-2.78	-3.36
0.29	-1.16	-4.54
-1.53	-1.06	2.37
-0.50	-0.29	4.35
-0.02	0.35	1.00
-0.10	0.17	0.74
0.01	0.01	0.93
-0.02	0.00	1.18
-0.13	0.09	1.04
-0.65	0.18	0.60
-0.84	0.37	0.15
-0.74	0.40	-0.12
-1.03	0.39	-0.17
-0.91	0.46	-0.23
-0.53	0.23	0.14
-0.49	0.10	1.14
-0.19	0.12	1.04
-0.02	0.12	1.02
0.12	0.12	0.98
0.17	0.10	0.94
0.14	0.09	1.00
0.03	0.11	1.05
0.02	0.09	1.08
-0.78	0.21	0.47
-0.90	0.38	-0.10
-0.82	0.29	0.00
-0.92	0.31	-0.23
-1.03	0.39	-0.32
-0.77	0.38	-0.31
-0.57	0.19	0.52
-0.32	0.09	1.24
-0.05	0.18	0.85
-0.02	0.14	0.99
0.01	0.15	1.00
-0.04	0.16	0.77
-0.22	0.27	-0.33
-0.10	-0.64	2.44
-0.83	-1.92	6.67
-1.23	-3.58	0.22
0.01	-2.64	-5.93
-1.24	-1.95	-2.34
-0.43	-1.39	6.14
-0.27	0.25	1.94
-0.25	0.34	0.97
-0.08	0.04	0.74
-0.02	0.03	0.94
-0.05	0.02	1.08
-0.14	0.05	1.14
-0.36	0.08	0.92
-0.76	0.18	0.45
-0.90	0.30	0.28
-0.84	0.35	0.00
-0.98	0.35	-0.12
-0.89	0.39	-0.18
-0.97	0.39	-0.12
-0.64	0.18	-0.00
-0.42	0.05	1.32
-0.19	0.13	0.83
-0.05	0.11	1.08
-0.01	0.10	1.00
0.03	0.10	0.95
0.03	0.08	0.98
0.00	0.07	1.12
-0.07	0.09	1.08
-0.50	0.11	0.57
-0.99	0.31	-0.09
-0.96	0.32	0.09
-0.96	0.34	-0.19
-0.73	0.35	-0.34
-1.08	0.34	-0.17
-0.76	0.29	-0.13
-0.70	0.11	0.80
-0.47	0.10	1.03
-0.04	0.13	0.95
0.03	0.13	0.92
-0.03	0.15	0.94
-0.06	0.13	0.74
-0.38	0.17	-0.37
-0.04	-0.62	3.12
-0.38	-1.65	6.39
-1.39	-3.51	-0.27
0.35	-2.90	-6.42
-1.86	-2.37	-1.14
-0.68	-1.14	6.87
-0.26	0.50	1.24
-0.04	0.15	0.73
-0.08	-0.03	0.86
-0.09	0.06	0.95
-0.15	0.08	1.02
-0.19	0.07	1.13
-0.37	0.13	0.77
-0.87	0.16	0.61
-0.85	0.20	0.46
-0.94	0.25	0.24
-0.94	0.28	-0.10
-1.01	0.31	-0.14
-0.83	0.28	0.00
-0.53	0.11	0.62
-0.49	0.07	1.19
-0.16	0.13	0.85
-0.14	0.10	0.92
-0.07	0.06	1.10
-0.01	0.06	0.97
0.02	0.07	0.95
0.04	0.07	1.04
-0.05	0.12	0.92
-0.02	0.08	1.15
-0.52	0.10	0.73
-1.05	0.32	-0.19
-0.71	0.29	0.09
-1.05	0.24	-0.20
-1.05	0.23	-0.34
-1.05	0.30	-0.26
-0.62	0.23	0.03
-0.59	0.12	1.12
-0.28	0.20	0.75
-0.04	0.17	0.93
-0.13	0.14	0.92
-0.19	0.22	0.23
-0.09	-0.01	0.44
-0.22	-1.73	6.42
-1.14	-2.80	3.05
-1.15	-2.95	-3.76
-0.54	-1.76	-5.04
-1.89	-2.04	2.76
-0.54	-0.26	4.76
0.19	0.45	1.13
-0.22	0.22	0.66
-0.05	-0.05	0.95
0.02	-0.06	0.97
-0.14	-0.03	1.18
-0.35	-0.00	1.16
-0.65	0.08	0.23
-1.13	0.13	0.69
-0.88	0.21	-0.00
-0.98	0.27	-0.11
-0.92	0.30	-0.13
-0.96	0.31	-0.03
-0.69	0.13	0.24
-0.38	0.02	1.21
-0.09	0.07	0.96
-0.08	0.08	0.92
-0.07	0.07	0.90
-0.03	0.06	1.07
-0.11	0.09	0.98
-0.25	0.07	1.07
-0.59	0.21	0.39
-1.02	0.30	0.26
-0.96	0.33	0.12
-0.95	0.35	0.00
-0.94	0.35	-0.17
-1.02	0.37	-0.12
-0.65	0.26	-0.02
-0.49	0.12	1.12
-0.18	0.20	0.95
-0.20	0.18	0.90
-0.09	0.17	0.94
-0.03	0.21	0.80
-0.14	0.36	-0.12
-0.03	-0.58	1.85
0.78	-2.69	6.65
-1.45	-3.50	1.19
-1.50	-2.80	-5.41
-1.12	-1.78	-3.90
-1.22	-2.19	5.59
-0.07	-0.11	3.51
0.02	0.34	0.94
-0.13	0.09	0.73
-0.03	0.02	0.84
-0.03	0.02	0.97
-0.10	0.04	1.21
-0.47	0.05	0.78
-0.94	0.27	0.23
-0.87	0.30	0.08
-0.94	0.34	-0.08
-0.88	0.41	-0.26
-0.97	0.40	-0.12
-0.58	0.29	0.03
-0.50	0.07	1.12
-0.20	0.12	0.99
-0.16	0.11	0.89
-0.04	0.04	1.07
0.01	0.03	1.00
0.01	0.03	1.09
-0.05	0.09	0.89
-0.45	0.07	0.95
-0.71	0.13	0.24
-1.06	0.25	-0.16
-0.93	0.27	-0.02
-0.92	0.30	-0.33
-1.02	0.33	-0.33
-0.86	0.32	-0.15
-0.59	0.20	0.17
-0.51	0.04	1.20
-0.33	0.11	0.96
-0.06	0.09	0.98
-0.08	0.10	1.01
-0.01	0.15	0.68
-0.12	0.24	0.03
-0.07	-0.67	1.83
0.87	-2.42	6.61
-1.23	-2.87	0.96
-0.85	-2.57	-4.90
-1.00	-1.80	-4.25
-1.74	-2.10	5.39
-0.30	0.14	3.59
-0.01	0.40	0.61
-0.21	0.08	0.77
-0.01	0.00	0.87
0.05	0.01	1.03
-0.07	0.04	1.13
-0.17	0.02	1.34
-0.63	0.18	0.15
-0.82	0.34	-0.07
-0.86	0.33	-0.12
-0.94	0.31	-0.16
-1.12	0.35	-0.17
-0.85	0.32	-0.07
-0.36	0.19	0.80
-0.35	0.16	1.06
-0.13	0.19	0.79
-0.05	0.10	1.01
-0.02	0.07	1.00
0.07	0.07	1.05
0.04	0.07	0.94
-0.01	0.06	1.11
-0.43	0.05	0.72
-0.88	0.35	-0.49
-0.99	0.29	0.12
-0.94	0.31	-0.32
-1.09	0.35	-0.23
-0.81	0.29	-0.12
-0.79	0.19	0.79
-0.52	0.20	0.80
-0.21	0.24	0.71
-0.11	0.21	-0.03
0.08	-0.34	-0.06
0.05	-1.83	6.85
-1.17	-3.13	3.13
-0.89	-3.02	-4.94
-0.45	-1.73	-4.64
-1.45	-1.83	4.40
0.08	-0.03	3.76
-0.06	0.40	1.03
-0.06	0.07	0.77
0.00	0.08	0.88
-0.01	0.12	0.93
0.02	0.11	1.00
0.01	0.13	0.95
0.00	0.12	0.97
0.04	0.11	1.01
-0.03	0.14	0.96
-0.07	0.15	0.97
-0.09	0.15	0.99
-0.06	0.13	0.99
-0.11	0.13	1.00
-0.08	0.12	1.00
-0.07	0.11	1.02
-0.08	0.12	0.96
-0.07	0.10	0.96
