X	Y	Z
0.02	-0.00	1.00
0.03	0.00	1.00
0.02	0.01	0.96
0.01	0.01	1.00
-0.02	0.02	0.97
0.04	-0.00	0.89
0.14	-0.07	0.60
0.04	-0.15	0.46
-0.58	-0.45	1.82
-0.74	-1.34	1.97
-0.30	-1.95	-1.11
1.04	-1.08	-1.88
-0.59	-0.78	0.08
-0.79	-0.71	1.75
-0.09	0.05	1.62
0.02	0.11	0.84
0.02	0.02	0.86
-0.03	-0.01	1.04
0.02	-0.03	0.99
0.06	-0.06	1.00
0.04	-0.07	0.99
0.00	-0.05	0.99
0.03	-0.08	0.96
0.06	-0.10	1.00
0.02	-0.12	0.84
0.05	-0.23	0.89
0.10	-0.38	1.08
0.16	-0.48	0.92
0.05	-0.53	0.75
0.08	-0.62	0.76
0.19	-0.64	0.90
0.10	-0.68	0.91
0.09	-0.66	0.80
0.18	-0.59	0.93
0.05	-0.56	0.91
0.10	-0.46	0.93
0.07	-0.28	0.96
0.04	-0.12	0.93
-0.01	-0.04	0.82
0.01	0.02	0.86
0.02	0.02	1.00
0.07	0.04	0.97
-0.04	0.07	0.73
-0.00	-0.04	0.21
0.12	0.00	0.47
-0.04	-1.23	1.86
-0.85	-1.86	1.88
0.37	-1.96	-1.65
0.62	-1.46	-1.95
-0.60	-1.35	0.37
-0.04	-0.42	1.89
-0.01	0.13	1.23
-0.07	-0.01	0.85
0.06	-0.02	0.91
0.06	-0.04	1.03
0.03	-0.06	0.97
0.02	-0.02	0.93
-0.00	-0.00	1.01
-0.01	0.04	0.95
0.03	0.01	1.02
0.12	-0.03	1.01
0.32	-0.05	0.90
0.43	-0.06	0.88
0.76	-0.05	0.68
0.74	-0.01	0.58
0.65	0.01	0.65
0.67	-0.02	0.80
0.22	0.04	0.90
0.01	0.09	0.98
-0.05	0.13	0.98
-0.06	0.13	0.96
0.00	0.11	0.94
0.05	0.08	0.96
0.08	0.08	1.00
0.23	0.07	0.99
0.42	0.05	0.90
0.52	0.06	0.83
0.70	0.05	0.75
0.80	0.05	0.55
0.78	0.08	0.46
0.77	0.04	0.56
0.57	-0.01	0.90
-0.02	0.09	0.88
-0.02	0.10	1.02
-0.02	0.11	0.90
0.04	0.06	0.87
0.05	0.00	0.85
0.06	-0.08	0.64
0.16	-0.11	0.93
0.44	-0.28	1.90
0.01	-1.22	1.98
-0.56	-1.96	-0.48
0.31	-1.77	-1.80
-0.18	-1.25	-1.98
-0.86	-1.13	0.98
0.20	-0.06	1.93
0.12	0.31	1.37
0.02	0.16	0.86
0.06	0.02	0.90
0.10	0.00	0.93
0.08	0.01	0.96
0.06	-0.02	1.02
0.06	0.03	1.01
0.04	0.06	1.00
0.09	0.04	1.00
0.15	0.02	0.99
0.26	0.00	0.97
0.40	-0.00	0.89
0.60	-0.01	0.85
0.75	0.01	0.67
0.82	0.03	0.50
0.81	0.04	0.43
0.77	0.04	0.53
0.76	0.05	0.55
0.41	-0.03	0.95
0.23	-0.00	1.04
0.18	0.06	0.96
0.12	0.08	0.92
0.12	0.06	0.94
0.10	0.04	0.92
-0.19	0.03	1.00
-0.20	0.03	0.76
-0.70	0.14	0.58
-0.89	0.17	0.24
-1.00	0.19	0.17
-0.93	0.19	0.23
-0.81	0.19	0.34
-0.77	0.22	0.36
-0.71	0.20	0.58
-0.31	0.16	0.84
-0.10	0.13	0.95
0.06	0.09	1.01
0.10	0.08	0.98
0.18	0.06	1.03
0.17	0.06	0.99
0.17	0.07	0.98
0.13	0.09	0.93
0.10	0.05	0.87
0.22	-0.10	0.49
0.26	-0.22	0.28
0.10	-0.14	1.72
0.02	-1.37	1.96
-0.69	-1.97	-0.69
1.39	-2.01	-1.83
-0.47	-1.51	-1.59
-1.47	-1.40	1.34
0.14	-0.44	1.91
0.06	0.25	1.14
-0.11	0.07	0.83
0.04	-0.07	0.99
0.07	-0.08	0.98
0.07	-0.09	0.98
0.08	-0.08	0.99
0.04	-0.03	0.95
0.01	-0.04	0.96
0.04	-0.13	0.86
0.04	-0.25	0.88
0.01	-0.39	0.80
-0.02	-0.46	0.90
0.08	-0.50	0.98
0.02	-0.53	0.99
0.02	-0.53	0.87
0.04	-0.52	0.87
0.07	-0.45	0.96
0.00	-0.38	1.07
0.02	-0.27	1.13
-0.01	-0.06	0.93
0.02	0.04	0.76
-0.01	0.09	0.91
0.02	0.09	1.03
0.02	0.14	1.05
0.02	0.17	1.12
0.04	0.21	1.19
-0.02	0.37	0.95
-0.03	0.48	0.88
-0.05	0.64	0.64
-0.03	0.70	0.58
-0.04	0.78	0.40
-0.03	0.81	0.41
-0.03	0.85	0.32
-0.10	0.84	0.46
-0.02	0.83	0.43
-0.01	0.76	0.58
-0.07	0.70	0.42
0.10	0.42	1.03
0.09	0.34	0.83
0.15	0.29	0.92
0.12	0.12	1.31
0.15	0.09	1.00
0.03	0.00	0.52
0.21	-0.19	0.40
0.20	-0.12	0.76
0.00	-0.25	1.92
-1.20	-1.74	1.93
0.77	-1.99	-1.63
1.01	-1.79	-1.95
-1.03	-1.40	-0.27
-0.08	-0.08	1.85
-0.03	0.33	1.53
-0.13	0.17	0.82
-0.03	0.12	0.75
-0.03	0.12	0.98
0.05	0.12	1.03
0.04	0.11	1.02
0.02	0.13	1.00
0.03	0.15	0.98
0.03	0.14	0.97
0.12	0.12	0.99
0.24	0.10	0.95
0.33	0.12	0.93
0.48	0.15	0.81
0.68	0.16	0.67
0.89	0.13	0.47
0.87	0.14	0.42
0.87	0.18	0.41
0.88	0.16	0.42
0.84	0.14	0.53
0.68	0.11	0.74
0.39	0.13	1.08
0.13	0.21	0.95
0.14	0.22	0.91
0.15	0.22	0.90
0.10	0.22	0.92
0.12	0.22	0.93
0.10	0.21	0.82
0.07	0.04	0.88
-0.02	-0.15	1.00
-0.02	-0.32	0.91
0.02	-0.49	0.96
-0.05	-0.56	0.90
0.17	-0.57	0.97
0.09	-0.57	1.00
-0.02	-0.59	0.84
0.09	-0.56	0.93
0.06	-0.46	0.99
0.03	-0.37	0.99
0.04	-0.13	0.71
0.04	-0.02	0.90
-0.03	0.08	0.95
0.08	0.09	0.82
0.01	0.09	1.01
-0.00	0.07	1.01
-0.20	0.06	0.92
-0.57	0.11	0.70
-0.75	0.15	0.45
-0.86	0.16	0.28
-0.94	0.17	0.19
-0.95	0.18	0.15
-0.88	0.20	0.10
-0.88	0.21	0.06
-0.94	0.23	0.24
-0.64	0.20	0.61
-0.40	0.16	0.79
-0.06	0.13	0.99
0.06	0.10	1.07
0.13	0.07	0.99
-0.01	0.08	0.73
0.13	-0.05	0.54
0.29	-0.07	0.55
-0.10	-0.08	1.86
-0.67	-1.52	1.98
-0.25	-1.98	-1.28
1.31	-1.85	-1.90
-0.62	-1.37	-1.04
-1.44	-0.56	1.55
-0.08	0.45	1.59
-0.04	0.38	1.03
-0.01	0.20	0.94
0.08	0.12	0.99
0.08	0.07	1.00
0.09	0.07	0.94
0.08	0.08	0.89
0.06	0.02	0.72
0.06	-0.12	1.09
0.12	-0.32	0.87
-0.05	-0.48	0.84
0.15	-0.55	0.86
0.09	-0.55	0.96
0.05	-0.65	0.93
0.06	-0.64	0.69
0.09	-0.62	0.76
0.06	-0.60	0.94
0.03	-0.53	1.07
0.06	-0.44	1.17
-0.00	-0.36	1.01
-0.03	-0.09	0.72
-0.03	0.13	0.62
-0.08	0.22	0.43
-0.09	0.11	0.39
0.31	-0.13	0.35
-0.20	-0.20	1.69
-0.84	-1.80	1.97
-0.53	-1.98	-0.82
1.31	-1.99	-1.84
-0.58	-1.26	-1.39
-1.31	-0.80	1.38
-0.08	0.24	1.95
0.02	0.35	1.09
-0.00	0.14	0.94
0.05	0.09	0.91
0.05	0.08	0.98
0.03	0.09	1.01
0.04	0.14	0.92
0.04	0.15	0.91
0.06	0.16	1.01
0.12	0.15	0.97
0.19	0.15	0.95
0.30	0.14	0.93
0.49	0.14	0.85
0.72	0.15	0.66
0.80	0.13	0.57
0.84	0.15	0.53
0.82	0.18	0.46
0.77	0.19	0.49
0.71	0.19	0.52
0.51	0.11	0.89
0.37	0.14	0.85
0.18	0.14	0.90
0.16	0.15	0.97
0.18	0.15	0.97
0.13	0.13	0.91
0.20	0.09	0.95
0.14	0.04	0.94
0.10	-0.08	0.63
0.00	-0.38	0.72
0.18	-0.49	0.99
0.07	-0.59	1.00
0.13	-0.65	0.85
0.07	-0.67	0.80
0.12	-0.63	0.87
0.06	-0.61	0.94
0.06	-0.49	0.81
0.12	-0.42	1.14
0.06	-0.24	0.96
0.02	-0.06	0.72
0.05	0.05	0.75
0.08	0.08	0.89
0.07	0.09	0.98
0.09	0.08	0.92
-0.07	0.03	0.98
-0.24	0.01	0.92
-0.70	0.05	0.70
-0.79	0.07	0.47
-0.89	0.06	0.39
-0.90	0.09	0.30
-0.92	0.09	0.26
-0.91	0.10	0.26
-0.78	0.09	0.29
-0.81	0.11	0.43
-0.61	0.11	0.50
-0.27	0.00	0.94
-0.06	-0.04	1.15
0.05	-0.04	1.03
0.06	-0.04	0.85
0.14	-0.08	0.67
0.16	-0.15	0.35
0.09	-0.01	1.15
0.95	-1.16	1.89
-1.21	-1.96	0.43
0.23	-2.00	-1.69
-0.20	-1.65	-1.97
-1.23	-1.75	1.06
-0.00	-0.11	1.93
-0.11	0.43	0.96
-0.11	0.14	0.68
