X	Y	Z
0.03	0.22	1.01
0.01	0.20	0.91
-0.14	0.10	1.10
0.07	0.19	0.78
-0.20	-0.02	1.12
0.17	0.22	0.92
-0.04	0.11	0.99
-0.04	0.12	0.88
-0.07	0.07	1.06
0.06	0.05	1.00
0.08	0.03	1.08
0.15	0.02	0.97
0.10	0.06	0.85
0.03	-0.00	0.87
0.08	-0.09	0.85
0.28	-0.06	1.57
0.46	-0.24	3.99
-0.35	-1.24	0.78
-0.13	-1.05	-3.17
-0.24	-0.34	0.79
0.21	0.09	2.55
0.15	0.11	1.16
0.08	0.08	0.77
0.07	0.10	0.90
-0.02	0.05	1.11
-0.02	0.03	1.09
-0.07	0.00	1.01
-0.03	-0.05	0.92
-0.01	-0.09	0.92
0.04	-0.17	0.88
0.05	-0.29	0.75
0.09	-0.47	0.80
0.11	-0.60	0.78
0.08	-0.78	0.76
0.13	-0.85	0.70
0.08	-0.89	0.69
0.04	-0.91	0.62
0.07	-0.88	0.70
-0.00	-0.89	0.81
0.09	-0.81	0.81
0.00	-0.72	0.95
0.04	-0.59	0.91
0.08	-0.44	0.94
0.07	-0.20	0.88
0.02	0.01	0.75
0.02	0.10	0.83
-0.06	0.19	0.71
-0.04	0.18	0.87
-0.09	0.15	0.87
-0.06	0.11	0.91
-0.01	0.05	0.95
0.23	0.04	1.56
0.38	-0.16	3.71
-0.40	-0.96	1.31
0.24	-1.21	-2.81
-0.70	-0.36	-0.59
0.19	0.05	3.06
0.17	0.27	1.55
0.11	0.13	0.97
0.08	0.13	0.86
0.14	0.05	1.08
-0.07	0.06	0.96
-0.19	0.07	0.98
-0.31	0.09	0.93
-0.46	0.10	0.86
-0.71	0.14	0.65
-0.84	0.16	0.27
-1.03	0.12	0.41
-0.96	0.12	0.36
-0.97	0.11	0.39
-0.91	0.11	0.50
-0.77	0.09	0.62
-0.53	0.09	0.89
-0.22	0.09	0.88
0.07	0.08	0.96
0.28	0.06	0.88
0.47	0.03	0.87
0.67	0.01	0.69
0.78	-0.00	0.59
0.86	-0.02	0.46
0.98	-0.02	0.31
0.98	-0.02	0.30
0.98	-0.07	0.33
0.95	-0.06	0.39
0.91	-0.06	0.61
0.77	-0.04	0.74
0.43	0.03	0.65
0.20	0.00	0.95
0.19	-0.00	1.02
0.17	0.02	0.97
0.27	0.01	0.94
0.47	-0.02	0.84
0.56	-0.04	0.81
0.74	-0.05	0.58
0.89	-0.07	0.40
0.97	-0.10	0.33
0.99	-0.11	0.17
1.05	-0.15	0.15
1.03	-0.13	0.28
1.00	-0.10	0.27
0.94	-0.10	0.54
0.74	-0.09	0.84
0.45	0.01	0.62
-0.24	0.06	0.80
-0.17	0.04	0.63
-0.25	-0.03	1.09
-0.15	-0.10	1.06
-0.14	-0.09	1.46
-0.15	-0.13	3.02
-0.69	-0.76	2.75
0.05	-1.50	-2.22
-0.11	-0.38	-1.94
0.00	0.07	2.38
0.10	0.32	1.90
0.14	0.18	0.95
0.00	0.20	0.76
0.07	0.11	0.97
0.01	0.06	1.02
-0.08	0.03	0.93
-0.01	-0.06	1.00
-0.03	-0.16	0.87
-0.00	-0.25	0.96
0.02	-0.38	0.80
0.07	-0.61	0.82
0.08	-0.74	0.89
0.15	-0.78	0.74
0.10	-0.85	0.74
0.11	-0.83	0.74
0.08	-0.84	0.94
0.10	-0.77	0.86
0.15	-0.70	0.95
0.12	-0.46	0.97
0.17	-0.27	0.94
0.05	-0.07	0.81
0.03	0.16	0.93
-0.01	0.34	0.83
-0.11	0.50	0.82
0.01	0.61	0.65
0.02	0.72	0.63
0.12	0.82	0.35
0.09	0.87	0.34
0.07	0.88	0.38
0.04	0.86	0.37
0.04	0.80	0.51
0.06	0.63	0.65
0.04	0.64	0.66
-0.02	0.50	0.74
0.09	0.36	0.80
0.06	0.17	0.87
0.10	0.07	1.19
0.10	0.05	1.19
0.13	0.04	1.06
0.10	0.03	1.11
0.12	0.03	0.91
-0.00	0.00	0.90
0.16	-0.01	1.59
-0.03	-0.36	3.40
-0.47	-0.75	1.31
0.13	-0.90	-2.72
-0.04	-0.40	-0.60
0.04	-0.05	2.82
-0.05	0.15	1.55
0.07	0.11	0.89
0.03	0.08	0.81
0.07	0.01	1.13
0.06	0.03	1.06
0.10	0.05	1.02
0.21	0.05	0.94
0.39	0.05	0.93
0.44	0.06	0.83
0.58	0.07	0.74
0.68	0.06	0.65
0.81	0.02	0.52
0.92	-0.00	0.48
0.96	0.00	0.38
0.96	0.02	0.25
0.98	-0.00	0.30
0.98	-0.02	0.34
0.93	-0.01	0.46
0.86	-0.03	0.53
0.70	-0.04	0.74
0.42	0.01	0.67
0.23	-0.05	0.75
0.16	-0.19	0.93
0.09	-0.26	0.84
0.09	-0.39	0.93
0.06	-0.55	0.98
0.14	-0.60	0.87
0.09	-0.68	0.93
0.09	-0.70	0.86
0.09	-0.68	0.85
0.10	-0.69	0.98
0.02	-0.63	0.92
0.01	-0.48	0.88
-0.08	-0.33	0.76
-0.19	-0.24	0.88
-0.33	-0.16	0.82
-0.56	-0.08	0.73
-0.64	-0.04	0.57
-0.90	-0.01	0.42
-0.90	0.01	0.45
-0.97	-0.01	0.47
-0.94	0.01	0.36
-0.97	-0.01	0.43
-0.95	-0.01	0.38
-0.95	-0.01	0.58
-0.68	-0.03	0.65
-0.54	-0.05	0.97
-0.28	-0.01	0.89
-0.09	0.01	0.85
-0.02	0.01	0.94
0.02	0.04	0.81
0.05	0.03	1.02
0.16	0.07	1.79
0.29	-0.47	3.84
-0.41	-1.04	-0.03
