X	Y	Z
0.10	0.11	1.00
0.15	0.10	0.95
0.07	0.13	0.53
0.01	-0.00	0.60
-0.09	-0.36	4.99
-0.84	-1.97	3.76
-0.18	-3.01	-2.49
0.05	-1.39	-4.49
-1.36	-1.38	0.53
-0.34	-0.53	5.40
-0.10	0.46	1.63
-0.25	0.36	0.52
-0.02	0.20	0.79
-0.02	0.23	0.90
-0.02	0.17	0.73
0.04	-0.16	0.70
-0.01	-0.45	1.01
0.03	-0.53	1.09
0.01	-0.51	1.01
-0.08	-0.44	1.03
-0.06	-0.47	1.15
-0.07	-0.57	1.38
0.00	-0.49	0.98
0.05	-0.16	0.76
-0.05	0.19	0.53
0.02	0.22	0.88
0.05	0.20	1.01
0.03	0.20	1.00
0.03	0.18	0.86
0.03	0.15	0.85
0.05	0.12	0.88
0.31	0.26	0.19
-1.24	-1.15	6.28
-1.36	-3.17	2.88
0.50	-4.01	-5.03
-0.75	-2.08	-3.71
-1.39	-1.11	5.11
-0.55	0.72	3.30
-0.14	0.48	0.52
-0.02	0.15	0.80
0.01	0.11	0.98
0.02	0.11	0.99
0.07	0.06	1.14
0.05	0.08	1.26
-0.05	0.14	0.95
-0.14	0.25	0.91
-0.10	0.61	0.63
0.04	0.77	0.51
-0.15	0.85	0.40
-0.21	0.88	0.51
-0.21	0.91	0.56
-0.22	0.95	0.30
-0.26	0.83	0.18
0.03	0.29	0.43
0.16	0.02	1.31
0.12	0.11	1.23
0.09	0.16	1.15
0.09	0.14	0.95
0.06	0.16	0.27
-0.19	0.07	2.33
-1.08	-1.97	5.93
-1.00	-3.92	-1.36
0.44	-2.84	-5.34
-1.61	-1.73	0.42
-0.60	0.01	5.65
0.09	0.32	1.61
-0.01	0.19	0.58
0.08	0.07	0.90
0.04	0.10	1.09
-0.07	0.10	1.23
-0.32	0.15	1.07
-0.47	0.41	0.42
-0.68	0.49	0.07
-0.73	0.49	0.03
-0.94	0.53	-0.10
-0.84	0.52	-0.02
-0.29	0.25	0.48
-0.47	0.15	1.28
-0.14	0.18	0.91
