X	Y	Z
-0.11	0.32	0.95
-0.10	0.31	0.86
-0.02	0.26	1.12
-0.03	0.25	0.82
0.04	0.14	0.92
0.15	0.04	0.87
0.30	-0.15	1.04
0.23	-0.21	1.09
-0.09	-0.04	1.27
-2.27	0.29	2.72
-2.84	-1.28	0.82
4.89	-3.59	1.16
1.09	-3.18	-0.26
-4.01	0.85	1.47
-0.90	0.61	1.15
-0.24	0.15	1.25
-0.28	0.33	0.81
-0.19	0.30	0.75
-0.19	0.34	0.88
-0.06	0.30	0.86
0.06	0.20	1.09
0.22	0.15	0.73
0.44	0.11	0.86
0.60	0.08	0.79
0.73	0.04	0.76
0.76	0.04	0.78
0.75	0.04	0.93
0.57	0.08	0.93
0.33	0.12	1.04
-0.19	0.27	0.52
-0.30	0.29	0.80
-0.40	0.29	0.92
-0.27	0.31	0.88
-0.10	0.25	0.97
0.18	0.19	0.93
0.46	0.12	0.80
0.63	0.06	0.77
0.83	0.08	0.61
0.85	0.07	0.55
0.90	0.07	0.77
0.87	0.12	0.78
0.75	0.12	0.95
0.30	0.16	0.54
0.14	0.14	0.37
-0.07	0.10	0.80
-0.11	0.04	0.95
-0.93	0.19	1.99
-4.18	0.33	2.91
-0.72	-3.47	0.84
4.86	-3.37	-0.75
-1.56	-0.76	-0.25
-1.90	0.98	2.10
-0.38	0.53	1.45
-0.29	0.36	0.93
-0.23	0.27	0.90
-0.09	0.20	0.86
-0.12	0.19	0.99
-0.07	0.17	0.97
-0.05	0.12	0.89
0.03	-0.00	0.76
0.02	-0.16	0.79
-0.01	-0.39	0.77
0.01	-0.59	0.97
0.04	-0.70	1.00
0.05	-0.80	0.97
-0.01	-0.77	1.00
-0.00	-0.68	0.88
-0.05	-0.64	0.93
0.03	-0.58	1.07
-0.01	-0.46	0.96
0.06	-0.32	1.03
-0.08	-0.14	0.90
0.06	0.05	0.85
-0.08	0.22	0.76
-0.02	0.32	0.68
-0.02	0.32	0.61
0.05	0.39	0.76
0.05	0.46	0.95
-0.07	0.44	0.95
0.06	0.29	0.96
0.19	0.18	1.20
-1.13	0.48	1.87
-2.68	0.29	2.31
0.27	-2.33	0.64
5.06	-3.29	-0.85
-2.67	-1.36	0.42
-2.78	1.33	2.41
-0.09	0.30	1.47
-0.02	0.19	0.80
-0.12	0.26	0.73
-0.19	0.27	0.82
-0.21	0.27	0.83
-0.08	0.18	0.93
-0.13	0.07	0.90
-0.02	-0.10	0.82
-0.07	-0.33	0.77
-0.02	-0.56	0.91
-0.01	-0.69	1.09
0.00	-0.77	0.95
-0.02	-0.76	0.91
-0.04	-0.69	1.03
-0.04	-0.66	1.07
-0.05	-0.56	1.07
0.01	-0.42	0.95
-0.05	-0.29	1.16
-0.06	-0.07	0.95
-0.09	0.21	0.61
-0.08	0.47	0.45
0.02	0.66	0.40
0.02	0.86	0.37
-0.12	0.98	0.43
-0.04	0.98	0.55
-0.05	0.94	0.54
-0.05	0.83	0.48
-0.01	0.69	0.44
0.09	0.33	0.28
0.02	-0.00	0.91
0.18	-0.19	0.80
0.27	-0.25	1.15
0.23	-0.19	1.29
0.03	-0.15	1.35
0.08	-0.06	1.52
-1.65	0.14	2.80
-2.58	-1.06	1.85
2.63	-3.20	0.06
2.86	-2.90	-1.10
-2.77	-0.06	1.11
-1.70	0.89	2.04
-0.44	0.42	1.43
-0.26	0.34	0.87
-0.10	0.19	0.88
-0.11	0.23	1.04
-0.12	0.23	0.99
-0.08	0.21	1.01
-0.13	0.22	0.96
-0.09	0.25	0.95
-0.06	0.25	0.95
-0.03	0.25	0.96
-0.04	0.25	0.92
