X	Y	Z
0.00	0.16	0.99
0.04	0.18	1.02
-0.09	0.18	0.97
-0.24	0.11	1.02
-0.14	0.26	0.80
-0.06	0.19	0.90
-0.13	0.16	0.93
0.08	0.15	1.05
0.10	0.17	0.94
-0.06	0.17	0.89
0.04	0.08	0.89
0.24	-0.02	0.93
0.23	-0.11	0.92
0.20	-0.14	0.93
0.08	-0.19	0.87
0.10	-0.23	0.98
0.20	-0.13	1.75
0.34	-0.32	3.65
-0.14	-1.07	2.29
-0.08	-1.54	-1.87
0.08	-0.66	-2.32
-0.18	-0.28	1.45
-0.37	0.19	2.55
-0.10	0.32	1.65
-0.07	0.17	1.00
-0.01	0.09	0.98
0.10	0.08	0.83
0.32	0.03	0.84
0.61	-0.01	0.77
0.82	0.01	0.73
0.89	0.03	0.45
0.95	0.03	0.54
0.90	0.02	0.81
0.46	0.09	0.74
-0.01	0.21	0.77
-0.06	0.22	0.90
0.03	0.16	0.93
0.30	0.10	0.89
0.69	0.04	0.85
0.88	0.04	0.62
0.90	0.03	0.31
1.08	0.05	0.43
0.97	0.09	0.59
0.53	0.09	0.48
-0.07	0.16	0.57
-0.01	0.07	0.93
0.29	0.10	1.89
0.55	-0.38	4.20
-0.10	-1.12	0.76
-0.12	-1.49	-2.93
-0.67	-0.17	-0.82
0.47	-0.15	3.18
0.23	0.28	1.83
0.16	0.22	1.07
0.06	0.06	1.05
-0.07	0.09	0.88
-0.23	0.10	0.83
-0.67	0.14	0.62
-0.89	0.26	0.15
-0.96	0.25	-0.14
-1.10	0.17	0.02
-1.07	0.24	-0.14
-1.08	0.25	0.02
-0.55	0.21	0.31
-0.25	0.15	0.97
0.19	0.11	0.95
0.50	0.14	0.85
0.79	0.17	0.44
1.05	0.18	0.31
1.07	0.18	0.18
1.07	0.20	0.37
0.84	0.24	0.50
0.49	0.31	0.54
0.09	0.37	0.73
0.06	0.33	0.82
0.37	0.25	0.81
0.69	0.16	0.84
1.08	0.13	0.51
1.01	0.21	0.22
0.98	0.18	0.22
1.03	0.21	0.49
0.71	0.23	0.48
0.15	0.18	0.47
-0.28	0.08	0.56
-0.18	-0.06	0.94
0.05	-0.16	1.10
0.27	-0.11	2.17
0.37	-0.43	4.28
0.01	-1.60	1.93
-0.23	-1.89	-3.42
-0.40	-0.78	-2.00
0.12	-0.55	3.10
-0.06	0.33	2.76
-0.21	0.49	1.03
-0.06	0.18	0.91
-0.09	0.06	0.80
-0.00	-0.04	0.85
0.09	-0.20	0.62
0.11	-0.56	0.66
0.24	-0.71	1.11
0.11	-0.85	0.92
0.19	-0.92	0.96
0.15	-0.81	1.11
0.08	-0.70	0.75
0.04	-0.55	0.95
-0.07	-0.28	0.65
-0.38	-0.04	0.37
-0.72	-0.01	0.49
-1.03	-0.03	0.49
-1.12	0.02	0.55
-0.86	0.02	0.71
-0.68	-0.01	0.88
-0.55	0.02	1.00
-0.32	0.09	1.11
-0.01	0.33	0.78
0.18	0.60	0.49
0.06	0.80	0.13
-0.12	0.85	0.22
0.02	0.73	0.21
0.37	0.44	0.92
0.40	0.34	0.93
0.72	0.20	0.69
0.84	0.13	0.71
1.07	0.13	0.37
1.04	0.16	0.21
1.03	0.20	0.22
0.93	0.19	0.43
0.54	0.19	0.40
0.05	0.12	0.36
-0.45	-0.03	0.72
-0.14	-0.13	1.33
0.15	-0.12	2.08
0.31	-0.32	3.55
0.05	-1.23	2.75
-0.17	-1.84	-3.13
