X	Y	Z
0.23	0.11	0.99
0.26	0.17	1.13
0.30	0.15	0.99
0.14	0.22	0.89
0.26	0.16	0.58
0.46	0.22	0.86
0.41	0.10	0.88
0.35	-0.02	0.94
0.49	0.08	0.96
0.30	0.09	0.49
0.23	-0.15	1.12
0.03	-0.12	0.61
0.03	-0.20	1.21
0.05	-0.25	2.44
-0.03	-1.08	4.38
-0.36	-1.77	-0.36
-0.28	-1.15	-4.43
-0.67	-0.80	1.04
0.43	0.02	3.45
0.26	0.22	1.43
0.12	0.07	0.85
0.07	0.07	0.78
0.04	-0.04	1.13
-0.04	-0.01	1.00
-0.20	-0.01	1.10
-0.33	0.03	0.86
-0.62	0.08	0.64
-0.83	0.11	0.39
-1.01	0.11	0.15
-1.06	0.11	0.04
-1.05	0.12	0.11
-0.99	0.13	0.05
-1.03	0.12	0.06
-1.01	0.11	0.21
-0.88	0.09	0.37
-0.58	0.07	0.76
-0.30	0.07	0.88
0.03	0.05	0.91
0.18	0.05	0.92
0.25	-0.02	1.00
0.25	-0.03	0.86
0.18	-0.04	0.95
0.24	-0.02	1.16
0.84	-0.07	2.72
0.72	-1.02	4.33
-0.35	-2.40	-2.92
-0.98	-1.25	-4.31
-0.64	-1.27	3.73
0.19	0.05	3.11
0.02	0.16	1.10
0.05	0.03	0.70
0.03	0.01	0.87
0.03	-0.11	1.10
-0.02	-0.08	1.01
-0.04	-0.06	0.96
0.01	-0.10	1.02
0.02	-0.13	0.99
0.04	-0.16	0.92
0.02	-0.22	0.83
0.03	-0.35	0.81
0.07	-0.50	0.68
-0.01	-0.70	0.79
0.06	-0.83	0.72
0.02	-0.89	0.77
0.11	-0.88	0.63
0.02	-0.90	0.63
0.05	-0.88	0.76
0.07	-0.87	1.00
-0.02	-0.85	1.11
0.07	-0.52	0.60
0.08	-0.06	0.53
0.10	-0.01	0.73
0.04	-0.03	0.82
0.04	-0.08	0.96
0.10	-0.12	1.24
0.42	-0.22	2.60
0.30	-1.12	4.30
-0.70	-1.97	-1.89
-0.58	-1.23	-4.60
-0.66	-1.59	2.93
0.26	0.01	3.61
-0.10	0.29	1.12
-0.06	0.09	0.80
0.06	0.09	0.74
0.15	0.01	1.09
0.08	0.04	1.17
0.06	0.17	1.03
0.12	0.23	1.12
0.06	0.33	0.94
0.04	0.37	0.88
-0.02	0.55	0.62
0.02	0.75	0.53
0.04	0.91	0.15
0.04	0.95	0.06
0.03	0.92	0.15
0.02	0.84	0.16
0.13	0.53	0.30
0.21	0.06	1.10
0.16	-0.03	1.58
-0.13	0.04	1.22
-0.26	0.09	0.91
-0.88	0.20	0.20
-1.02	0.22	0.01
-0.92	0.21	0.02
-0.98	0.19	-0.05
-0.99	0.18	0.02
-0.97	0.21	0.21
-0.66	0.16	0.56
-0.34	0.17	0.81
0.17	0.15	0.95
0.48	0.17	0.81
0.71	0.18	0.63
0.92	0.09	0.54
0.98	0.09	0.39
1.02	0.11	0.24
0.98	0.12	0.29
1.03	0.10	0.53
0.92	0.10	0.55
0.61	0.09	0.88
0.03	0.14	0.51
-0.41	0.17	0.49
-0.64	0.11	0.50
-0.34	-0.01	1.14
-0.01	-0.32	2.71
0.00	-1.12	3.91
-0.21	-1.22	-1.75
-1.61	-0.49	-3.34
-0.05	-0.68	3.05
0.48	0.10	2.62
0.12	0.07	1.07
-0.00	0.23	0.58
0.04	0.25	0.74
0.04	0.15	0.79
-0.07	-0.05	0.86
0.02	-0.08	1.42
0.09	-0.10	1.07
0.06	0.08	0.79
0.14	0.03	1.09
0.09	0.03	1.02
0.13	0.02	0.99
0.12	0.02	0.97
0.20	0.01	1.01
