X	Y	Z
-0.00	0.16	0.96
-0.03	0.14	0.95
-0.07	0.13	0.87
-0.07	0.15	0.03
0.09	-0.07	0.61
-0.08	-0.77	6.41
-0.59	-2.42	3.22
-0.45	-2.92	-2.80
-0.40	-1.64	-4.32
-1.28	-1.16	2.15
-0.01	0.20	5.05
0.01	0.42	1.06
0.08	0.06	0.51
0.03	0.18	0.72
-0.07	0.31	0.87
-0.07	0.13	0.67
0.00	-0.25	0.74
0.08	-0.48	1.00
0.06	-0.49	0.99
-0.02	-0.53	1.14
-0.15	-0.55	1.35
-0.07	-0.56	1.58
-0.15	-0.55	1.14
0.05	-0.15	0.35
0.04	0.23	0.20
-0.06	0.26	1.03
0.07	0.21	1.18
0.10	0.18	1.12
0.02	0.14	0.90
-0.15	0.14	0.93
-0.35	0.28	0.49
-0.91	0.25	0.16
-1.01	0.37	-0.10
-1.07	0.38	-0.26
-1.16	0.40	-0.22
-0.87	0.43	-0.36
-0.62	0.28	0.14
-0.69	0.16	0.96
-0.23	0.21	0.84
0.07	0.19	0.82
0.09	0.14	1.07
0.04	0.13	1.07
0.02	0.12	1.13
0.02	0.08	1.31
-0.10	0.15	1.18
0.23	0.41	0.46
-0.07	0.66	0.28
-0.32	0.90	0.23
-0.16	0.91	0.37
-0.24	1.05	0.22
-0.25	1.07	0.01
-0.29	0.69	0.27
0.06	0.08	0.38
0.10	-0.21	1.14
-0.01	-0.02	1.48
-0.00	0.10	1.47
0.02	0.12	1.10
-0.00	0.08	0.86
-0.07	0.05	0.44
0.00	0.01	-0.73
-0.35	-0.85	4.46
-0.53	-2.36	6.17
-1.31	-4.06	-0.11
-0.32	-2.88	-5.01
-0.91	-1.92	-2.51
-1.12	-0.63	5.17
0.00	0.66	3.26
0.04	0.37	0.90
-0.18	0.12	0.54
-0.07	0.12	0.86
-0.02	0.22	1.07
-0.09	0.27	0.99
-0.07	0.25	0.97
-0.06	0.18	0.73
0.39	0.03	0.85
0.77	-0.01	0.91
0.75	0.06	0.62
0.80	0.08	0.65
0.82	0.07	0.66
0.84	0.06	0.71
0.48	0.04	0.86
-0.18	0.09	0.75
-0.03	0.13	1.01
0.04	0.10	1.01
0.09	0.09	1.08
0.13	0.09	1.07
0.09	0.10	1.07
-0.05	0.10	1.07
-0.53	0.25	0.59
-0.58	0.34	0.17
-0.96	0.36	0.08
-1.03	0.40	0.03
-1.09	0.46	0.14
-0.99	0.49	0.03
-0.64	0.42	0.25
-0.22	0.27	0.60
0.03	0.20	1.06
0.19	0.17	1.03
0.20	0.15	1.07
0.10	0.18	0.97
0.05	0.12	0.59
0.06	0.16	-0.13
-0.21	0.12	3.06
0.14	-1.59	6.92
-0.90	-3.52	-0.40
-0.20	-3.21	-4.47
-1.02	-1.90	-2.04
-1.06	-0.29	5.64
0.06	0.89	2.88
0.00	0.30	0.80
-0.04	0.10	0.60
0.07	0.15	0.89
0.09	0.22	1.08
0.08	0.26	1.19
-0.08	0.28	0.96
-0.32	0.33	0.53
-0.47	0.34	0.65
-0.94	0.35	0.46
-0.83	0.34	0.40
-1.01	0.33	0.45
-0.92	0.38	0.29
-0.94	0.40	0.25
-0.46	0.31	0.36
-0.42	0.24	0.87
0.03	0.20	1.08
0.14	0.16	0.96
0.13	0.16	1.03
0.08	0.19	1.01
0.09	0.15	1.25
0.13	0.11	1.37
-0.16	0.25	0.74
-0.00	0.67	0.45
-0.13	0.82	0.08
-0.26	0.93	-0.06
-0.10	0.98	0.25
-0.08	1.06	-0.07
-0.21	0.89	-0.10
-0.04	0.28	0.14
0.03	-0.17	1.35
-0.00	0.09	1.31
0.08	0.12	1.42
0.06	0.12	1.13
-0.05	0.19	0.92
-0.13	0.28	0.74
0.18	0.16	0.77
0.47	0.04	1.04
0.57	0.12	0.55
0.96	0.11	0.35
1.06	0.10	0.43
0.95	0.18	0.53
0.98	0.15	0.57
1.00	0.00	0.61
0.22	0.08	0.39
-0.19	0.10	1.00
-0.02	0.09	1.21
-0.04	0.10	1.02
-0.02	0.11	0.86
-0.01	0.10	-0.03
-0.48	0.11	2.53
-0.91	-1.85	6.66
-0.80	-4.03	-0.16
0.37	-3.48	-5.34
-0.90	-2.31	-2.25
-1.75	-0.55	5.91
-0.33	0.72	2.84
-0.15	0.43	0.80
-0.23	0.22	0.80
-0.16	0.24	0.75
-0.07	0.27	0.92
-0.15	0.30	0.96
-0.17	0.29	0.87
-0.03	0.22	0.79
0.38	0.11	1.06
0.59	0.10	0.88
0.77	0.15	0.49
0.88	0.12	0.47
0.88	0.14	0.57
0.81	0.14	0.63
0.83	0.10	0.70
0.41	0.15	0.67
0.06	0.14	1.05
-0.25	0.24	0.72
-0.32	0.24	1.15
-0.26	0.24	0.92
-0.28	0.25	0.95
-0.29	0.24	0.95
-0.24	0.26	0.90
-0.16	0.26	0.86
0.24	0.20	0.96
0.57	0.16	0.71
0.77	0.15	0.57
0.81	0.14	0.45
0.88	0.13	0.55
0.91	0.14	0.67
0.91	0.15	0.69
0.45	0.10	0.70
-0.10	0.17	0.81
-0.33	0.26	0.88
-0.28	0.23	1.03
-0.27	0.21	0.92
-0.12	0.19	0.09
-0.29	0.46	0.54
-1.16	-1.38	7.03
-1.36	-3.59	1.65
0.36	-4.11	-4.37
-0.07	-2.15	-3.43
-2.27	-0.46	4.11
-0.35	0.91	3.75
-0.17	0.54	1.08
-0.07	0.15	0.77
-0.10	0.22	0.81
-0.10	0.29	1.04
-0.12	0.31	1.00
-0.07	0.27	0.82
0.16	0.16	0.79
0.47	0.10	0.77
0.65	0.12	0.70
0.80	0.10	0.71
0.95	0.04	0.78
0.90	0.02	0.85
0.59	0.06	0.86
0.16	0.12	0.75
-0.30	0.19	0.53
-0.21	0.18	1.17
-0.12	0.17	1.03
-0.05	0.17	1.06
-0.04	0.16	1.19
-0.10	0.17	1.03
-0.42	0.27	0.39
-0.83	0.39	-0.16
-0.97	0.40	-0.15
-1.05	0.40	-0.03
-0.95	0.46	-0.20
-0.98	0.43	-0.12
-0.66	0.31	0.26
-0.32	0.19	0.99
0.10	0.28	0.91
0.20	0.21	0.94
0.09	0.23	1.04
0.04	0.22	0.83
0.07	0.17	-0.36
-0.44	0.13	1.75
0.20	-1.22	7.60
-1.01	-3.44	1.50
-0.35	-3.70	-4.13
-0.69	-2.21	-3.54
-1.04	-0.84	4.25
-0.14	1.15	3.79
0.05	0.42	1.06
0.03	0.10	0.65
-0.00	0.26	0.89
-0.00	0.32	1.18
-0.05	0.34	0.95
-0.04	0.30	0.77
-0.03	0.23	0.72
-0.02	0.03	0.57
0.05	-0.30	0.96
-0.00	-0.44	1.20
0.02	-0.48	1.06
0.01	-0.47	1.11
-0.08	-0.45	1.17
-0.04	-0.45	1.47
-0.06	-0.50	1.48
0.05	-0.17	0.29
-0.08	0.29	0.36
-0.01	0.36	0.83
0.02	0.35	0.97
-0.03	0.32	0.80
-0.02	0.22	0.33
0.07	0.22	-0.45
-0.61	-1.06	5.29
-1.21	-2.50	5.09
-0.28	-4.19	-2.22
0.26	-2.99	-5.12
-1.55	-1.67	-0.01
-0.75	0.42	6.24
-0.19	0.80	1.81
-0.18	0.26	0.55
0.02	0.16	0.75
-0.04	0.31	1.02
-0.07	0.32	0.99
-0.08	0.30	0.89
0.01	0.25	0.69
0.39	0.19	0.98
0.69	0.18	0.45
0.83	0.14	0.51
0.98	0.08	0.64
1.08	0.07	0.69
0.88	0.12	0.58
0.83	0.10	0.69
0.71	0.08	0.63
0.04	0.12	0.66
-0.15	0.23	1.02
-0.08	0.20	0.98
0.00	0.16	1.03
-0.06	0.18	0.99
-0.00	0.15	1.27
0.02	0.09	1.45
-0.03	0.18	0.65
-0.11	0.53	0.56
0.03	0.79	0.01
-0.20	0.97	0.08
-0.23	1.04	0.15
-0.24	1.08	0.06
-0.16	0.94	-0.05
-0.08	0.49	0.02
0.10	0.03	1.02
-0.12	0.24	1.37
-0.22	0.24	1.24
0.03	0.22	1.16
-0.04	0.22	0.87
-0.10	0.18	0.10
0.04	0.00	-0.60
-0.75	-1.47	5.38
-0.83	-2.87	6.05
-1.21	-4.64	-1.54
0.71	-3.49	-6.00
-1.60	-2.72	-1.89
-1.38	-1.36	6.51
-0.05	0.43	2.73
-0.12	0.30	0.96
-0.15	0.13	0.61
-0.03	0.12	0.76
-0.01	0.22	1.00
-0.05	0.28	0.84
-0.09	0.16	0.58
0.03	-0.22	0.95
0.08	-0.35	1.11
-0.08	-0.36	0.96
-0.06	-0.41	1.02
-0.06	-0.44	1.16
-0.08	-0.42	1.26
-0.08	-0.39	1.20
-0.04	-0.29	1.03
0.03	-0.01	0.54
0.01	0.23	0.59
-0.03	0.25	0.91
-0.01	0.21	1.14
0.04	0.15	1.31
-0.10	0.15	1.07
-0.06	0.46	0.52
0.15	0.75	0.44
-0.20	0.94	0.26
-0.31	0.96	0.14
-0.28	0.94	0.27
-0.19	0.98	0.12
-0.15	0.75	-0.04
-0.14	0.19	0.31
0.05	-0.18	1.54
0.13	-0.05	1.41
0.11	0.02	1.21
0.07	0.08	1.08
-0.03	0.04	0.80
-0.01	-0.02	-0.07
-0.21	-0.08	0.53
-0.39	-1.71	7.06
-1.17	-3.71	3.88
-0.38	-4.70	-3.20
0.74	-2.92	-5.56
-2.68	-2.04	1.56
-0.33	0.50	5.75
0.01	0.60	1.03
-0.14	0.17	0.53
-0.06	0.15	0.78
-0.10	0.28	0.99
-0.14	0.34	1.00
-0.19	0.34	0.95
-0.16	0.30	1.07
-0.23	0.21	1.38
-0.16	0.32	0.90
0.08	0.71	-0.02
-0.30	0.86	-0.05
-0.22	1.07	0.12
-0.15	1.06	0.12
-0.41	0.99	-0.26
-0.17	0.51	-0.08
0.18	0.04	0.96
0.06	0.21	1.25
0.06	0.26	1.41
0.11	0.23	1.18
0.01	0.23	0.96
-0.06	0.23	1.25
0.00	0.17	1.10
-0.46	0.42	0.06
-0.48	0.47	-0.09
-0.79	0.50	-0.30
-0.95	0.56	-0.42
-0.89	0.60	-0.34
-0.74	0.63	-0.55
-0.80	0.59	-0.38
-0.47	0.36	0.21
-0.55	0.30	1.08
-0.29	0.40	0.75
-0.34	0.39	1.01
-0.40	0.41	0.76
-0.41	0.44	0.92
-0.59	0.56	0.61
-0.42	0.53	0.56
0.07	0.18	0.95
0.40	0.10	0.81
0.68	0.09	0.46
0.87	0.10	0.47
0.98	0.14	0.56
1.12	0.14	0.67
0.98	0.12	0.73
0.67	0.03	0.48
0.01	0.15	0.61
-0.37	0.26	0.95
-0.15	0.29	1.14
-0.09	0.27	0.85
0.03	0.13	-0.05
-0.16	0.16	0.12
-1.77	-1.01	6.84
-1.18	-3.29	3.75
-0.13	-4.61	-3.73
0.31	-3.01	-5.21
-2.32	-1.94	2.88
-0.62	0.77	5.36
0.03	0.62	0.86
-0.02	0.11	0.81
-0.00	0.12	0.97
0.03	0.23	0.98
-0.00	0.26	1.02
0.04	0.24	0.96
0.03	0.23	0.90
-0.03	0.26	0.96
0.04	0.26	0.94
0.05	0.24	0.98
-0.00	0.24	0.96
-0.01	0.24	0.96
-0.01	0.24	0.95
-0.04	0.24	0.96
-0.05	0.25	1.04
