X	Y	Z
0.00	0.19	0.99
0.16	0.25	1.00
-0.19	0.11	0.98
0.11	0.24	0.77
-0.04	0.11	1.21
0.12	0.17	0.99
0.02	0.21	0.90
0.09	0.21	0.88
0.08	0.20	0.92
0.06	0.13	0.99
0.16	0.13	0.57
0.18	-0.04	1.04
0.14	-0.10	0.80
0.01	-0.15	1.02
0.24	-0.22	1.56
0.54	-0.55	3.39
-0.33	-1.41	3.07
-0.13	-1.67	-3.20
-0.47	-0.59	-2.12
-0.16	-0.37	3.37
-0.30	0.19	2.14
-0.18	0.10	1.07
-0.16	0.06	0.80
-0.05	0.08	0.87
-0.05	0.08	0.98
-0.07	0.09	0.98
0.06	0.11	0.95
0.28	0.06	0.89
0.52	-0.01	0.91
0.68	-0.02	0.76
0.74	-0.02	0.64
0.78	-0.00	0.53
0.86	-0.01	0.67
0.89	-0.02	0.86
0.51	0.02	0.85
0.07	0.14	0.72
-0.09	0.15	0.93
-0.09	0.12	1.01
0.01	0.09	0.99
0.25	0.06	0.88
0.53	0.02	0.91
0.76	0.03	0.63
0.91	0.06	0.39
0.95	0.10	0.32
0.98	0.05	0.47
0.90	0.06	0.61
0.78	0.06	0.91
0.35	0.11	0.66
-0.05	0.16	0.61
-0.07	0.05	0.69
-0.05	-0.08	0.80
0.14	-0.13	1.58
0.28	-0.42	3.92
0.01	-1.53	2.96
-0.56	-1.92	-3.45
-0.94	-0.68	-2.24
0.59	-0.59	2.84
0.46	-0.08	2.50
0.14	0.11	1.30
0.04	0.03	0.96
-0.01	-0.02	0.89
-0.08	-0.03	1.14
-0.29	0.06	0.75
-0.62	0.13	0.59
-0.87	0.13	0.39
-1.04	0.15	0.28
-1.00	0.16	0.34
-0.97	0.14	0.40
-0.94	0.11	0.54
-0.60	0.10	0.74
-0.30	0.07	1.04
-0.24	0.09	0.80
-0.22	0.08	1.01
-0.32	0.12	0.84
-0.63	0.16	0.52
-0.94	0.19	0.39
-1.04	0.21	0.19
-1.07	0.20	0.20
-0.97	0.20	0.17
-1.02	0.17	0.37
-0.67	0.14	0.43
-0.28	0.03	1.10
0.10	0.07	0.97
0.01	0.07	0.82
0.09	0.04	0.72
0.37	0.19	1.45
0.51	-0.59	5.24
-0.26	-2.08	0.54
-0.68	-1.53	-4.96
-0.29	-0.90	0.80
-0.09	0.14	3.21
-0.10	0.37	1.70
-0.09	0.22	1.01
-0.04	0.05	0.96
-0.03	0.04	0.90
-0.04	0.06	0.98
-0.08	0.01	0.78
-0.01	-0.14	0.86
0.05	-0.33	0.73
0.03	-0.54	0.88
0.09	-0.73	0.78
0.12	-0.81	0.86
0.10	-0.81	0.80
0.12	-0.84	0.77
0.04	-0.85	0.86
0.15	-0.81	0.94
-0.03	-0.76	1.18
0.13	-0.67	1.00
0.08	-0.40	1.01
-0.03	-0.01	0.46
0.07	0.14	0.60
-0.00	0.22	0.66
0.06	0.25	0.42
0.22	0.18	1.28
0.22	-0.26	4.46
-0.47	-1.38	2.34
-0.60	-1.59	-3.80
-0.83	-0.97	-1.73
0.38	-0.38	3.60
0.09	0.29	2.63
-0.05	0.24	0.91
0.08	0.04	0.74
0.10	0.02	1.02
-0.01	0.06	1.05
-0.11	0.09	0.96
-0.35	0.08	0.97
-0.53	0.12	0.65
-0.88	0.15	0.45
-0.95	0.11	0.41
-1.03	0.14	0.38
-0.98	0.15	0.32
-1.01	0.14	0.54
-0.59	0.15	0.81
-0.47	0.16	1.08
-0.20	0.30	0.88
0.00	0.45	0.99
-0.01	0.54	0.71
-0.15	0.72	0.37
-0.24	0.87	0.18
-0.17	0.89	0.14
-0.19	0.90	0.21
-0.18	0.68	0.16
0.02	0.42	1.05
-0.04	0.23	0.80
0.13	0.06	1.08
0.38	0.01	1.21
0.52	0.02	1.02
0.64	0.06	0.74
0.84	0.04	0.74
0.84	0.10	0.51
0.87	0.08	0.46
0.87	0.08	0.48
0.89	0.12	0.75
0.51	0.13	0.72
0.14	0.17	0.68
-0.17	0.12	0.42
-0.16	-0.07	0.81
0.18	-0.19	1.81
0.19	-0.53	3.69
-0.20	-1.09	3.08
-0.62	-2.02	-1.46
-0.75	-1.54	-5.01
-0.21	-1.30	2.97
0.07	0.24	4.15
-0.21	0.48	1.19
0.11	0.01	0.75
0.20	-0.06	0.89
0.17	0.08	0.97
0.06	0.17	1.21
-0.05	0.27	1.07
-0.02	0.28	1.01
